period,pnumber,nnumber
20200727165,5,4
20200727164,5,5
20200727163,8,5
20200727162,8,8
20200727161,2,8
20200727160,5,2
20200727159,7,5
20200727158,8,7
20200727157,8,8
20200727156,4,8
20200727155,5,4
20200727154,6,5
20200727153,0,6
20200727152,0,0
20200727151,1,0
20200727150,8,1
20200727149,1,8
20200727148,8,1
20200727147,9,8
20200727146,8,9
20200727145,0,8
20200727144,1,0
20200727143,3,1
20200727142,3,3
20200727141,8,3
20200727140,5,8
20200727139,3,5
20200727138,0,3
20200727137,6,0
20200727136,9,6
20200727135,5,9
20200727134,1,5
20200727133,8,1
20200727132,8,8
20200727131,8,8
20200727130,8,8
20200727129,2,8
20200727128,3,2
20200727127,4,3
20200727126,9,4
20200727125,3,9
20200727124,2,3
20200727123,0,2
20200727122,9,0
20200727121,8,9
20200727120,2,8
20200727119,9,2
20200727118,6,9
20200727117,4,6
20200727116,7,4
20200727115,6,7
20200727114,9,6
20200727113,5,9
20200727112,3,5
20200727111,3,3
20200727110,9,3
20200727109,3,9
20200727108,4,3
20200727107,4,4
20200727106,4,4
20200727105,7,4
20200727104,9,7
20200727103,0,9
20200727102,2,0
20200727101,0,2
20200727100,7,0
20200727099,8,7
20200727098,2,8
20200727097,5,2
20200727096,8,5
20200727095,3,8
20200727094,8,3
20200727093,9,8
20200727092,5,9
20200727091,3,5
20200727090,4,3
20200727089,9,4
20200727088,1,9
20200727087,9,1
20200727086,0,9
20200727085,2,0
20200727084,7,2
20200727083,5,7
20200727082,8,5
20200727081,1,8
20200727080,6,1
20200727079,0,6
20200727078,9,0
20200727077,6,9
20200727076,3,6
20200727075,7,3
20200727074,3,7
20200727073,2,3
20200727072,1,2
20200727071,8,1
20200727070,7,8
20200727069,7,7
20200727068,1,7
20200727067,6,1
20200727066,6,6
20200727065,6,6
20200727064,2,6
20200727063,4,2
20200727062,1,4
20200727061,1,1
20200727060,6,1
20200727059,8,6
20200727058,1,8
20200727057,2,1
20200727056,0,2
20200727055,3,0
20200727054,1,3
20200727053,8,1
20200727052,5,8
20200727051,7,5
20200727050,0,7
20200727049,7,0
20200727048,3,7
20200727047,1,3
20200727046,4,1
20200727045,0,4
20200727044,9,0
20200727043,3,9
20200727042,0,3
20200727041,1,0
20200727040,2,1
20200727039,6,2
20200727038,5,6
20200727037,3,5
20200727036,4,3
20200727035,0,4
20200727034,6,0
20200727033,4,6
20200727032,8,4
20200727031,3,8
20200727030,6,3
20200727029,5,6
20200727028,3,5
20200727027,4,3
20200727026,9,4
20200727025,0,9
20200727024,2,0
20200727023,1,2
20200727022,4,1
20200727021,9,4
20200727020,0,9
20200727019,9,0
20200727018,0,9
20200727017,4,0
20200727016,6,4
20200727015,5,6
20200727014,7,5
20200727013,8,7
20200727012,8,8
20200727011,3,8
20200727010,3,3
20200727009,8,3
20200727008,9,8
20200727007,2,9
20200727006,6,2
20200727005,6,6
20200727004,6,6
20200727003,1,6
20200727002,6,1
20200727001,3,6
20200726480,1,3
20200726479,3,1
20200726478,0,3
20200726477,3,0
20200726476,3,3
20200726475,1,3
20200726474,0,1
20200726473,3,0
20200726472,9,3
20200726471,4,9
20200726470,4,4
20200726469,8,4
20200726468,7,8
20200726467,4,7
20200726466,1,4
20200726465,5,1
20200726464,1,5
20200726463,0,1
20200726462,3,0
20200726461,0,3
20200726460,6,0
20200726459,4,6
20200726458,4,4
20200726457,6,4
20200726456,1,6
20200726455,8,1
20200726454,3,8
20200726453,9,3
20200726452,0,9
20200726451,1,0
20200726450,8,1
20200726449,9,8
20200726448,8,9
20200726447,2,8
20200726446,9,2
20200726445,4,9
20200726444,4,4
20200726443,0,4
20200726442,5,0
20200726441,7,5
20200726440,5,7
20200726439,9,5
20200726438,6,9
20200726437,1,6
20200726436,5,1
20200726435,3,5
20200726434,8,3
20200726433,9,8
20200726432,9,9
20200726431,3,9
20200726430,5,3
20200726429,7,5
20200726428,4,7
20200726427,1,4
20200726426,3,1
20200726425,4,3
20200726424,3,4
20200726423,8,3
20200726422,4,8
20200726421,4,4
20200726420,5,4
20200726419,7,5
20200726418,8,7
20200726417,3,8
20200726416,7,3
20200726415,3,7
20200726414,3,3
20200726413,5,3
20200726412,3,5
20200726411,9,3
20200726410,8,9
20200726409,3,8
20200726408,7,3
20200726407,0,7
20200726406,0,0
20200726405,5,0
20200726404,8,5
20200726403,8,8
20200726402,4,8
20200726401,7,4
20200726400,4,7
20200726399,6,4
20200726398,4,6
20200726397,8,4
20200726396,5,8
20200726395,9,5
20200726394,6,9
20200726393,5,6
20200726392,5,5
20200726391,9,5
20200726390,8,9
20200726389,0,8
20200726388,8,0
20200726387,1,8
20200726386,7,1
20200726385,6,7
20200726384,9,6
20200726383,1,9
20200726382,4,1
20200726381,5,4
20200726380,0,5
20200726379,1,0
20200726378,3,1
20200726377,0,3
20200726376,3,0
20200726375,8,3
20200726374,5,8
20200726373,8,5
20200726372,9,8
20200726371,8,9
20200726370,6,8
20200726369,8,6
20200726368,8,8
20200726367,4,8
20200726366,3,4
20200726365,1,3
20200726364,9,1
20200726363,5,9
20200726362,7,5
20200726361,5,7
20200726360,6,5
20200726359,6,6
20200726358,5,6
20200726357,7,5
20200726356,8,7
20200726355,8,8
20200726354,1,8
20200726353,7,1
20200726352,8,7
20200726351,3,8
20200726350,3,3
20200726349,9,3
20200726348,3,9
20200726347,8,3
20200726346,8,8
20200726345,8,8
20200726344,6,8
20200726343,5,6
20200726342,2,5
20200726341,2,2
20200726340,7,2
20200726339,5,7
20200726338,5,5
20200726337,7,5
20200726336,9,7
20200726335,8,9
20200726334,6,8
20200726333,1,6
20200726332,5,1
20200726331,8,5
20200726330,7,8
20200726329,5,7
20200726328,9,5
20200726327,7,9
20200726326,3,7
20200726325,8,3
20200726324,5,8
20200726323,3,5
20200726322,3,3
20200726321,1,3
20200726320,0,1
20200726319,7,0
20200726318,1,7
20200726317,7,1
20200726316,7,7
20200726315,3,7
20200726314,1,3
20200726313,4,1
20200726312,6,4
20200726311,2,6
20200726310,4,2
20200726309,5,4
20200726308,3,5
20200726307,9,3
20200726306,2,9
20200726305,8,2
20200726304,4,8
20200726303,2,4
20200726302,9,2
20200726301,6,9
20200726300,1,6
20200726299,4,1
20200726298,8,4
20200726297,1,8
20200726296,8,1
20200726295,2,8
